"Rodiklis","Rodiklio pavadinimas","Matavimo vienetai","Endog Exog","Lentelės kodas","Pastabos","Šaltinis","Nuoroda"
"b_l","Bankų išduotų paskolų apimtis ketvirčio pabaigoje","mln. Lt.","Endog",,"mėnesiniai - suderinta","Lietuvos bankas","http://www.lb.lt"
"C_n","Namų ūkių vartojimas","mln. Lt","Endog","M2010107","To meto kainomis","Statistikos departamentas prie LRV","http://www.stat.gov.lt"
"C_r","Namų ūkių vartojimas","mln. Lt","Endog","M2010107","Grandine susieta apimtimi","Statistikos departamentas prie LRV","http://www.stat.gov.lt"
"cad_lt","Kanados dolerio ir lito valiutos keitimo kursas",,,,"mėnesiniai","Lietuvos bankas","http://www.lb.lt"
"cpi_ru","Rusijos Federacijos vartotojų kainų indeksas",,,,"Mėnesiniai - suderinti","Федеральная служба государственной статистики","http://www.gks.ru/bgd/free/b00_24/IssWWW.exe/Stg/d000/I000650R.HTM"
"e","Užimtieji","tūkst. Žm.","Endog","M3030101","nuo 1998K2 - suderinta","Statistikos departamentas prie LRV","http://www.stat.gov.lt"
"e_sal","Vidutinis sąlyginis darbuotojų skaičius","vnt.","Endog","M3060202","nuo 2000K1 - suderinta","Statistikos departamentas prie LRV","http://www.stat.gov.lt"
"eur_lt","Euro ir lito valiutos keitimo kursas",,,,"mėnesiniai","Lietuvos bankas","http://www.lb.lt"
"G_n","Vyriausybės vartojimas","mln. Lt","Endog","M2010107","To meto kainomis","Statistikos departamentas prie LRV","http://www.stat.gov.lt"
"G_r","Vyriausybės vartojimas","mln. Lt","Endog","M2010107","Grandine susieta apimtimi","Statistikos departamentas prie LRV","http://www.stat.gov.lt"
"i_ilg","Vidutinės nefinansinėms korporacijoms ir namų ūkiams suteiktų paskolų palūkanų normos","%","Exog",,"virš 1 m.","Lietuvos bankas","http://www.lb.lt"
"i_l","Vidutinės nefinansinėms korporacijoms ir namų ūkiams suteiktų paskolų palūkanų normos","%","Exog",,"iki 1 m (atitinka turimas)","Lietuvos bankas","http://www.lb.lt"
"I_n","Bendrasis kapitalo formavimas","mln. Lt","Endog","M2010107","To meto kainomis","Statistikos departamentas prie LRV","http://www.stat.gov.lt"
"I_r","Bendrasis kapitalo formavimas","mln. Lt","Endog","M2010107","Grandine susieta apimtimi","Statistikos departamentas prie LRV","http://www.stat.gov.lt"
"l","Darbo jėga","tūkst. Žm.","Exog","M3030101","nuo 1998K2 - suderinta","Statistikos departamentas prie LRV","http://www.stat.gov.lt"
"lt_eur","Lito ir euro valiutos keitimo kursas",,,,"mėnesiniai","Lietuvos bankas","http://www.lb.lt"
"m_de","Vokietijos importas","mln. Eur.",,,"To meto kainomis","Eurostato duomenų bazė","http://epp.eurostat.ec.europa.eu/portal/page/portal/eurostat/home/"
"M_n","Importas","mln. Lt","Endog","M2010107","To meto kainomis","Statistikos departamentas prie LRV","http://www.stat.gov.lt"
"M_no","Neminrelainių medžiagų importas","mln. Lt",,"M6050205","Be 27","Statistikos departamentas prie LRV","http://www.stat.gov.lt"
"M_o","Mineralinių medžiagų importas","mln. Lt",,"M6050205",27.0,"Statistikos departamentas prie LRV","http://www.stat.gov.lt"
"M_r","Importas","mln. Lt","Endog","M2010107","Grandine susieta apimtimi","Statistikos departamentas prie LRV","http://www.stat.gov.lt"
"m_ru","Rusijos Federacijos importas","mln. USD",,,"To meto kainomis; 2009K1 - jų įvertis","Rusijos centrinis bankas","http://www.cbr.ru/eng/statistics/credit_statistics/"
"mea","Euro zonos importas","mln. Eur.","Exog",,,"Eurostato duomenų bazė","http://epp.eurostat.ec.europa.eu/portal/page/portal/eurostat/home/"
"mea12","Euro zonos 12 šalių importas","mln. Eur.",,,,"Eurostato duomenų bazė","http://epp.eurostat.ec.europa.eu/portal/page/portal/eurostat/home/"
"mea13","Euro zonos 13 šalių importas","mln. Eur.",,,,"Eurostato duomenų bazė","http://epp.eurostat.ec.europa.eu/portal/page/portal/eurostat/home/"
"mea15","Euro zonos 15 šalių importas","mln. Eur.",,,,"Eurostato duomenų bazė","http://epp.eurostat.ec.europa.eu/portal/page/portal/eurostat/home/"
"mea16","Euro zonos 16 šalių importas","mln. Eur.",,,,"Eurostato duomenų bazė","http://epp.eurostat.ec.europa.eu/portal/page/portal/eurostat/home/"
"meu15","Europos Sąjungos 15 šalių importas","mln. Eur.",,,,"Eurostato duomenų bazė","http://epp.eurostat.ec.europa.eu/portal/page/portal/eurostat/home/"
"meu25","Europos Sąjungos 25 šalių importas","mln. Eur.",,,,"Eurostato duomenų bazė","http://epp.eurostat.ec.europa.eu/portal/page/portal/eurostat/home/"
"meu27","Europos Sąjungos 27 šalių importas","mln. Eur.",,,,"Eurostato duomenų bazė","http://epp.eurostat.ec.europa.eu/portal/page/portal/eurostat/home/"
"p_c","Vartojimo defliatorius","index","Endog","Apsk.",,,
"p_cpi","Vartotojų kainų indeksas","index","Endog","M2020101","Mėnesiniai - suderinta","Statistikos departamentas prie LRV","http://www.stat.gov.lt"
"p_g","Vyriausybės vartojimo defliatorius","index","Endog","Apsk.",,,
"p_i","Investicijų defliatorius","index","Endog","Apsk.",,,
"p_m","Importo defliatorius","index","Exog","Apsk.",,,
