obs,A_N_SA,A_R_SA,B_L_SA,C_N_SA,C_R_SA,E_SA,E_SAL_SA,G_N_SA,G_R_SA,I_L,I_N_SA,I_R_SA,L_SA,M_N_SA,M_R_SA,P_C_SA,P_CPI_SA,P_G_SA,P_I_SA,P_M_DE_SA,P_M_SA,P_MINO_SA,P_PPI_SA,P_X_SA,P_Y_SA,QM_SA,T,U_SA,W_B_SA,X_N_SA,X_R_SA,Y_DU_SA,Y_MISR_SA,Y_N_SA,Y_R_DE_SA,Y_R_SA,Y_R_SA
1995Q1,337.0728065,579.1814326,3951.352184,3864.371945,5224.822495,1641.48557,1170.020527,1224.321201,2176.704683,28.28666667,1226.395008,1225.507288,1947.340387,3729.500505,3693.092947,0.745745378,0.596134383,0.56246546,1.002613658,0.984582709,1.010357829,,,0.807495037,0.644638301,1659.004003,1,15.70628428,420.9030442,2788.397114,3448.5437,2244.551249,2233.091414,5711.057569,467239.8672,8961.66665,8961.66665
1995Q2,-8.510424376,-16.82014876,4065.205761,4150.728721,5557.240627,1633.103458,1080.797458,1246.138306,2051.050626,26.65666667,1370.636948,1422.832648,1970.040812,3697.975435,3638.015626,0.744093706,0.635071468,0.607560969,0.977161281,0.979827604,1.016576546,,,0.854355715,0.680645551,1700.109791,2,17.10306463,466.9017568,3116.986663,3627.571282,2403.093476,2356.783818,6178.004779,466751.6156,9003.859409,9003.859409
1995Q3,374.9283606,-185.5672899,4112.918249,4355.531554,5812.249603,1619.579023,1061.588908,1413.900143,2232.574671,27.24666667,1280.247084,1263.315668,1971.873156,3937.029371,3944.709615,0.754682343,0.676452009,0.63330475,1.009174795,0.968154544,0.996456933,,,0.867513726,0.763210243,1779.859697,3,17.86596321,509.4342022,3333.950246,3887.292988,2571.096936,2691.396708,6821.528017,465919.2116,9065.156026,9065.156026
1995Q4,-82.85659763,-698.8600254,4039.171162,4652.898362,6134.563775,1623.730963,1049.017007,1722.132728,2491.466857,26.89666667,1539.087226,1493.349917,1975.697723,4220.81184,4221.982456,0.752839594,0.736438048,0.691212377,1.021056373,0.971217456,1.000013404,,,0.853328245,0.755486006,1636.732468,4,17.81480819,565.9200405,3505.561967,4093.672977,2771.507011,2751.312816,7116.011845,467667.6297,9292.211045,9292.211045
1996Q1,-35.02394615,-81.66715963,3824.445326,5000.087597,5946.384049,1618.265624,1129.723528,1636.996591,2184.840221,23.91666667,1608.862374,1554.042825,1970.734168,4677.262482,4531.242388,0.846141755,0.784651597,0.749252314,1.043392009,0.96597724,1.032049639,1.246611594,0.807737155,0.911927224,0.804584414,1369.949423,5,17.88513894,599.1920214,3972.054063,4353.991531,2930.60073,2830.432047,7505.714199,467433.2972,9426.349079,9426.349079
1996Q2,-115.3853319,-275.0265656,3745.472425,5283.602344,6016.542321,1613.351932,1072.987747,1709.81719,2186.445314,23.11666667,1633.774174,1565.350971,1957.761094,4644.149776,4468.298225,0.877331581,0.82188767,0.782007754,1.052652404,0.959654885,1.040695245,1.204434485,0.825132294,0.947389703,0.847150681,1245.947252,6,17.59199133,611.0151732,3935.28397,4131.99846,3007.113737,2954.823201,7802.94257,470473.5414,9157.012275,9157.012275
1996Q3,220.4009089,-201.645382,3793.44934,5394.013628,6047.269871,1605.397832,1057.622389,2009.92575,2526.715805,24.35333333,1675.595306,1570.839471,1930.634887,5053.987086,4792.548185,0.896196829,0.836867828,0.795469655,1.062300614,0.955094572,1.051954521,1.26379988,0.84282522,0.947508711,0.886296392,1204.862631,7,16.84611923,651.7673833,4348.543546,4646.805707,3382.476399,3206.548388,8594.492053,473636.9578,9797.437286,9797.437286
1996Q4,14.33522812,-166.3626358,3808.957618,5774.217926,6260.131615,1587.002843,1060.011605,1889.62164,2287.956437,19.56333333,1939.727796,1867.183295,1885.707257,5514.93355,5299.876179,0.916107566,0.849845105,0.825899309,1.030063329,0.95413596,1.041074027,1.221411742,0.871755467,0.9493991,0.883202335,1306.730537,8,15.84044465,683.6232786,4607.338903,4817.971876,3399.245197,3234.52081,8710.307944,474489.1257,9767.004408,9767.004408
1997Q1,180.1865264,-5.056552026,3982.325647,5938.507151,6401.554231,1583.208133,1023.722447,2025.114556,2286.126261,19.08666667,2105.591269,1903.269476,1861.154637,5804.446749,5611.813325,0.931533245,0.869172805,0.885827957,1.121642648,0.959356663,1.033678676,1.214358112,0.888574495,0.981628612,0.94466504,1464.956862,9,14.93408977,733.9450245,4814.948521,4907.011225,3608.545674,3364.217314,9259.901274,469363.6842,9881.091315,9881.091315
1997Q2,388.1849478,-8.984017399,3823.666226,6002.960973,6341.498502,1568.997777,1048.393461,2395.174509,2674.091614,16.98,2129.549727,1950.426157,1840.098844,6241.570625,5980.472247,0.950198192,0.884730957,0.895696504,1.094564377,0.959446475,1.046372351,1.230693967,0.881392812,0.984756042,0.960834444,1343.295308,10,14.73296217,792.2657579,5073.512307,5144.020803,3801.777441,3436.614169,9747.811839,483867.0034,10120.58081,10120.58081
1997Q3,2.637595931,-99.67067114,3721.002595,6274.469544,6390.073589,1555.451948,1023.587539,2425.720566,2612.241204,14.66333333,2367.527707,2161.118965,1820.786877,6115.145086,5846.120761,0.981147051,0.908151764,0.928597467,1.085319872,0.962903422,1.042596877,1.19463943,0.89337697,0.982391124,0.965731605,1454.900218,11,14.57254179,841.5781403,5242.234265,5388.837508,4014.194721,3571.325959,10197.44459,482027.9364,10606.47983,10606.47983
1997Q4,587.6789282,337.1502059,4282.212544,6550.536914,6528.470741,1550.415449,1021.235113,2189.981562,2244.419794,12.59666667,2383.336581,2204.216529,1810.954623,6772.301114,6438.438599,0.998527301,0.922958171,0.975745076,1.07920248,0.962087653,1.052419948,1.187764686,0.885545742,0.96754427,0.988180316,1531.732272,12,14.38684162,898.8228357,5754.182017,5897.820043,4209.955915,3744.386798,10693.41489,484760.6349,10773.63871,10773.63871
1998Q1,33.60038819,-317.0352938,4577.6728,6671.632532,6573.735087,1506.120496,1014.127524,2697.602312,2678.880714,13.21,2521.565589,2399.366636,1761.16515,6557.700658,6267.834097,1.019587531,0.928285667,1.006988589,1.065081223,0.953847287,1.044998831,1.19849167,0.875267082,0.939371441,1.001202855,1668.641161,13,14.48158644,943.3331758,5474.031875,5823.093915,4363.178161,3786.845341,10840.73204,489101.7023,10890.20696,10890.20696
1998Q2,205.8389123,70.86014369,4987.057133,6723.388151,6606.184904,1480.773471,1008.024742,2572.765631,2531.618923,12.36666667,2786.278652,2590.028204,1717.401366,6566.459599,6572.758352,1.022265047,0.942717758,1.016253121,1.076202939,0.943258452,1.002977689,1.169425136,0.859842567,0.919068903,1.000324009,1760.070221,14,13.7782524,989.6330276,5379.530461,5868.458584,4592.481786,3749.097382,11101.34221,487592.9373,11094.39241,11094.39241
1998Q3,538.6477102,450.6191507,5323.214669,7050.257258,6864.962914,1487.745986,1014.221739,2597.617148,2491.117788,10.66,2876.141232,2677.88395,1709.583973,6626.379999,6727.162992,1.021931589,0.946802534,1.042751636,1.061386277,0.930804533,0.981312002,1.16189626,0.839037232,0.894138929,1.005332061,1835.971038,15,12.97613867,1024.237614,4934.230094,5552.041064,4838.590408,3660.978884,11370.51344,490590.2255,11309.46187,11309.46187
