obs,A_N_SA,A_R_SA,I_L,L_SA,LT_EUR,P_M_DE_SA,P_M_SA,P_MINO_SA,P_X_SA,Y_R_DE_SA,T
1995Q1,337.0728065,579.1814326,28.28666667,1947.340387,0.226405635,0.984582709,1.010357829,,0.807495037,467239.8672,1
1995Q2,-8.510424376,-16.82014876,26.65666667,1970.040812,0.226405635,0.979827604,1.016576546,,0.854355715,466751.6156,2
1995Q3,374.9283606,-185.5672899,27.24666667,1971.873156,0.226405635,0.968154544,0.996456933,,0.867513726,465919.2116,3
1995Q4,-82.85659763,-698.8600254,26.89666667,1975.697723,0.226405635,0.971217456,1.000013404,,0.853328245,467667.6297,4
1996Q1,-35.02394615,-81.66715963,23.91666667,1970.734168,0.226405635,0.96597724,1.032049639,1.246611594,0.911927224,467433.2972,5
1996Q2,-115.3853319,-275.0265656,23.11666667,1957.761094,0.226405635,0.959654885,1.040695245,1.204434485,0.947389703,470473.5414,6
1996Q3,220.4009089,-201.645382,24.35333333,1930.634887,0.226405635,0.955094572,1.051954521,1.26379988,0.947508711,473636.9578,7
1996Q4,14.33522812,-166.3626358,19.56333333,1885.707257,0.226405635,0.95413596,1.041074027,1.221411742,0.9493991,474489.1257,8
1997Q1,180.1865264,-5.056552026,19.08666667,1861.154637,0.226405635,0.959356663,1.033678676,1.214358112,0.981628612,469363.6842,9
1997Q2,388.1849478,-8.984017399,16.98,1840.098844,0.226405635,0.959446475,1.046372351,1.230693967,0.984756042,483867.0034,10
1997Q3,2.637595931,-99.67067114,14.66333333,1820.786877,0.226405635,0.962903422,1.042596877,1.19463943,0.982391124,482027.9364,11
1997Q4,587.6789282,337.1502059,12.59666667,1810.954623,0.226405635,0.962087653,1.052419948,1.187764686,0.96754427,484760.6349,12
1998Q1,33.60038819,-317.0352938,13.21,1761.16515,0.226405635,0.953847287,1.044998831,1.19849167,0.939371441,489101.7023,13
1998Q2,205.8389123,70.86014369,12.36666667,1717.401366,0.226405635,0.943258452,1.002977689,1.169425136,0.919068903,487592.9373,14
1998Q3,538.6477102,450.6191507,10.66,1709.583973,0.226405635,0.930804533,0.981312002,1.16189626,0.894138929,490590.2255,15
1998Q4,32.91308369,43.81926217,14.15666667,1723.67075,0.226405635,0.915854688,0.981900252,1.188932656,0.876724816,492080.2848,16
1999Q1,34.71920023,12.02152643,14.01333333,1728.466847,0.225652135,0.910234353,0.938307236,1.117353014,0.865769289,492811.4533,17
1999Q2,-132.5155701,-94.5710414,12.76,1718.063254,0.238488934,0.920960464,0.93852427,1.085417121,0.876580345,495337.8058,18
1999Q3,78.99278319,68.93497088,13.09,1709.037834,0.236854571,0.930866869,0.967749304,1.062648499,0.914273873,501366.2345,19
1999Q4,317.6163201,496.6387869,14.16333333,1703.20395,0.244395203,0.949963986,0.996182052,1.038099632,0.975955764,508970.2583,20
2000Q1,108.2092998,10.59944131,14.61333333,1693.391994,0.258942135,0.972524389,1.001251941,1.02508182,0.992475166,514340.2887,21
2000Q2,69.87600258,7.989407795,12.1,1686.663614,0.267790195,0.987422186,0.995240625,1.013623223,0.983514182,516437.5185,22
2000Q3,-146.3432753,-102.2944659,11.87,1687.547347,0.277623542,1.006932214,1.009692384,1.00879157,1.008094233,515560.0386,23
