"Kintamasis","EndoExo"
"B_L_SA","Endog"
"C_N_SA","Endog"
"C_R_SA","Endog"
"E_SA","Endog"
"E_SAL_SA","Endog"
"G_N_SA","Endog"
"G_R_SA","Endog"
"I_N_SA","Endog"
"I_R_SA","Endog"
"M_N_SA","Endog"
"M_R_SA","Endog"
"P_C_SA","Endog"
"P_CPI_SA","Endog"
"P_G_SA","Endog"
"P_I_SA","Endog"
"P_PPI_SA","Endog"
"P_Y_SA","Endog"
"QM_SA","Endog"
"U_SA","Endog"
"W_B_SA","Endog"
"X_N_SA","Endog"
"X_R_SA","Endog"
"Y_DU_SA","Endog"
"Y_MISR_SA","Endog"
"Y_N_SA","Endog"
"Y_R_SA","Endog"
"D971014","Exog"
"D984994","Exog"
"I_ILG","Exog"
"I_L","Exog"
"L_SA","Exog"
"MEA_SA","Exog"
"P_DE_SA","Exog"
"P_M_SA","Exog"
"P_MINO_SA","Exog"
"P_X_SA","Exog"
"T","Exog"
"Y_R_ADD","Exog"
"Y_R_DE_SA","Exog"
