"Name","Type"
"y_r_sa","stream"
"i_r_sa","stream"
"x_r_sa","stream"
"m_r_sa","stream"
"y_n_sa","stream"
"i_n_sa","stream"
"x_n_sa","stream"
"m_n_sa","stream"
"y_misr_sa","stream"
"g_n_sa","stream"
"p_y_sa","index"
"p_cpi_sa","index"
"w_b_sa","index"
"e_sa","index"
"e_sal_sa","index"
"u_sa","index"
"l_sa","index"
"p_m_sa","index"
"p_x_sa","index"
"il_m1","index"
"l_sa","index"
"m_r_eu15_sa","stream"
"m_ru_usd_sa","stream"
"p_m_eu15_sa","index"
"p_m_sa","index"
"p_x_sa","index"
"cn_r_sa","stream"
"cn_n_sa","stream"
"y_komp_sa","stream"
"bp_im_sa","index"
